0,"[[923.0087280273438, 776.7084350585938], [931.5675659179688, 773.85546875], [931.5675659179688, 772.4290161132812], [918.7293701171875, 728.20849609375], [921.582275390625, 753.8849487304688], [884.494140625, 712.5173950195312], [860.244140625, 749.6055297851562], [887.3470458984375, 782.414306640625], [867.37646484375, 849.4583129882812], [903.0382080078125, 840.8994750976562], [883.067626953125, 929.3405151367188], [751.8325805664062, 701.1056518554688], [701.90625, 705.385009765625], [797.4795532226562, 778.1348876953125], [696.2003173828125, 816.6495361328125], [720.4503173828125, 868.0023803710938], [587.788818359375, 870.8553466796875]]"
1,"[[922.75439453125, 776.596435546875], [931.3334350585938, 773.7367553710938], [931.3334350585938, 772.306884765625], [918.46484375, 727.9818115234375], [921.3245239257812, 753.718994140625], [885.5784912109375, 712.2536010742188], [861.271240234375, 750.8593139648438], [888.4381713867188, 782.3157958984375], [866.9906005859375, 849.518310546875], [904.1664428710938, 840.9392700195312], [884.148681640625, 929.58935546875], [751.1734619140625, 702.2446899414062], [701.1290893554688, 706.5342407226562], [796.9284057617188, 778.0262451171875], [696.8395385742188, 818.0618286132812], [721.1468505859375, 868.106201171875], [588.171630859375, 869.5360717773438]]"
2,"[[922.7340087890625, 776.7142944335938], [931.3143920898438, 773.8541259765625], [931.3143920898438, 772.424072265625], [918.4437866210938, 726.6619873046875], [921.303955078125, 753.8331909179688], [885.5523071289062, 712.361328125], [861.2412109375, 750.9730834960938], [888.4124145507812, 782.4345092773438], [866.96142578125, 849.6475830078125], [904.1431884765625, 841.0671997070312], [884.1222534179688, 929.7312622070312], [751.1261596679688, 702.350830078125], [701.0738525390625, 706.6410522460938], [796.8882446289062, 778.1443481445312], [696.7836303710938, 818.1861572265625], [721.0947875976562, 866.8084106445312], [588.0986328125, 869.6685180664062]]"
3,"[[922.8413696289062, 776.8589477539062], [931.428955078125, 773.9964599609375], [931.428955078125, 771.1339111328125], [918.5475463867188, 726.7645874023438], [921.4100952148438, 753.9586791992188], [884.1971435546875, 712.4519653320312], [861.296875, 751.0961303710938], [888.490966796875, 781.1527709960938], [867.0219116210938, 849.8535766601562], [904.23486328125, 841.2659912109375], [884.1971435546875, 930.0045776367188], [751.0892944335938, 702.4330444335938], [700.9949340820312, 706.7268676757812], [796.8898315429688, 778.2902221679688], [696.7011108398438, 818.36572265625], [721.0326538085938, 868.4600830078125], [587.9248046875, 869.891357421875]]"
4,"[[922.8828735351562, 776.8641357421875], [931.48291015625, 773.9974975585938], [931.48291015625, 772.5641479492188], [918.5828857421875, 726.6975708007812], [921.4495849609375, 753.9308471679688], [884.1829223632812, 712.3642578125], [861.2496337890625, 751.064208984375], [888.4829711914062, 781.1641235351562], [866.9829711914062, 849.9640502929688], [904.2495727539062, 841.3640747070312], [884.1829223632812, 930.2306518554688], [750.8831176757812, 702.3309326171875], [700.7164916992188, 706.6309204101562], [796.749755859375, 778.2974853515625], [696.41650390625, 818.4307861328125], [720.7831420898438, 867.1640625], [588.9166870117188, 870.0307006835938]]"
5,"[[922.8350219726562, 776.8306884765625], [931.4243774414062, 773.967529296875], [929.9928588867188, 772.5360107421875], [918.5403442382812, 726.7260131835938], [921.4034423828125, 753.9256591796875], [884.182861328125, 712.410400390625], [861.27783203125, 751.0625610351562], [888.4775390625, 781.1253662109375], [867.0040893554688, 849.84033203125], [904.2247314453125, 841.2509765625], [884.182861328125, 930.0078735351562], [751.0475463867188, 702.3894653320312], [700.94287109375, 706.6841430664062], [796.8575439453125, 778.2622680664062], [696.648193359375, 818.3460083007812], [720.9847412109375, 868.45068359375], [589.281005859375, 869.8822631835938]]"
6,"[[921.4600219726562, 776.8563232421875], [930.0501098632812, 773.9929809570312], [930.0501098632812, 771.129638671875], [917.1650390625, 725.3161010742188], [921.4600219726562, 753.9495239257812], [884.236572265625, 712.4310913085938], [861.329833984375, 751.086181640625], [887.0999145507812, 781.1513061523438], [867.0565185546875, 849.87158203125], [904.2799682617188, 839.849853515625], [884.236572265625, 930.0452270507812], [751.091064453125, 702.4093627929688], [700.9825439453125, 706.704345703125], [796.9046020507812, 778.2879638671875], [696.6875610351562, 818.3748168945312], [721.0260009765625, 867.0516357421875], [589.3121337890625, 869.9149780273438]]"
7,"[[922.7178344726562, 776.74169921875], [931.31396484375, 773.8762817382812], [931.31396484375, 771.0109252929688], [918.4197998046875, 725.1650390625], [921.28515625, 753.8187255859375], [884.035400390625, 712.2709350585938], [861.1124267578125, 752.3860473632812], [888.3334350585938, 781.0397338867188], [866.8432006835938, 851.2412109375], [904.0929565429688, 841.21240234375], [884.035400390625, 930.038818359375], [750.7957763671875, 702.2421264648438], [700.65185546875, 706.5401611328125], [796.6416625976562, 778.1743774414062], [696.3538208007812, 818.2894897460938], [720.70947265625, 868.4334106445312], [588.9025268554688, 869.8660888671875]]"
8,"[[922.7322387695312, 776.7556762695312], [931.3313598632812, 773.8892822265625], [931.3313598632812, 771.02294921875], [918.4327392578125, 726.5942993164062], [921.299072265625, 753.8247680664062], [885.4695434570312, 712.2625122070312], [861.10546875, 752.3916015625], [888.3358764648438, 781.0552368164062], [866.838134765625, 851.2811279296875], [904.1008911132812, 841.2488403320312], [884.036376953125, 930.1061401367188], [750.7504272460938, 700.7970581054688], [700.589111328125, 706.52978515625], [798.04541015625, 778.1888427734375], [696.28955078125, 818.3179321289062], [720.6536254882812, 868.4793090820312], [588.8009033203125, 869.9124755859375]]"
9,"[[921.4866333007812, 776.649169921875], [930.0733642578125, 773.7869262695312], [930.0733642578125, 772.3557739257812], [918.6243896484375, 726.5599365234375], [921.4866333007812, 753.751220703125], [884.2775268554688, 712.2487182617188], [861.3795776367188, 752.3201293945312], [887.1397705078125, 780.9425048828125], [867.1040649414062, 851.0673828125], [904.3131713867188, 841.049560546875], [884.2775268554688, 929.7789916992188], [751.183349609375, 700.7998046875], [701.0941162109375, 706.5242309570312], [796.9791870117188, 778.0802612304688], [696.80078125, 818.151611328125], [721.1298217773438, 868.2408447265625], [588.03564453125, 869.6719970703125]]"
10,"[[921.5737915039062, 776.6340942382812], [930.15087890625, 773.7750854492188], [930.15087890625, 772.3455810546875], [918.7147827148438, 728.0305786132812], [921.5737915039062, 755.19140625], [885.8359375, 712.305908203125], [861.5341796875, 750.90283203125], [888.6949462890625, 780.9226684570312], [867.2522583007812, 850.9688720703125], [904.4196166992188, 840.9622802734375], [884.4064331054688, 931.021728515625], [751.4615478515625, 699.4403076171875], [701.4285278320312, 705.1583862304688], [797.2059936523438, 778.0635986328125], [697.1399536132812, 816.6605224609375], [720.01220703125, 868.123046875], [588.496826171875, 869.5525512695312]]"
11,"[[921.4309692382812, 776.4483032226562], [930.0128173828125, 773.5877075195312], [930.0128173828125, 772.1574096679688], [918.5703735351562, 727.8179931640625], [921.4309692382812, 754.9937744140625], [885.6734008789062, 712.0846557617188], [861.3582153320312, 752.1331176757812], [888.5339965820312, 782.1695556640625], [867.0794677734375, 850.8240966796875], [904.267333984375, 840.81201171875], [884.2431030273438, 930.921142578125], [751.2247924804688, 699.2119140625], [701.1641845703125, 704.93310546875], [796.9945678710938, 777.8786010742188], [698.3035888671875, 816.496826171875], [719.7581176757812, 867.98779296875], [588.170166015625, 869.4180908203125]]"
12,"[[922.885498046875, 776.5216064453125], [930.0350952148438, 773.6618041992188], [930.0350952148438, 772.2318725585938], [918.5957641601562, 729.3343505859375], [921.45556640625, 755.0728759765625], [885.7076416015625, 712.1753540039062], [861.3990478515625, 750.7831420898438], [888.5675048828125, 782.2412719726562], [867.1187133789062, 850.8773803710938], [904.2965698242188, 840.867919921875], [884.2777099609375, 930.9527587890625], [751.29541015625, 699.3060913085938], [701.248291015625, 705.0257568359375], [797.052734375, 777.9515380859375], [698.388427734375, 816.559326171875], [719.8372192382812, 868.036376953125], [588.2847900390625, 869.46630859375]]"
13,"[[922.8621826171875, 776.4517822265625], [930.012451171875, 773.5916748046875], [930.012451171875, 772.16162109375], [918.572021484375, 729.2601928710938], [921.43212890625, 755.0010375976562], [885.680908203125, 712.099609375], [861.3701171875, 750.7109375], [888.541015625, 782.1719970703125], [867.0902709960938, 850.8143310546875], [904.2715454101562, 840.8040161132812], [884.2508544921875, 930.8970947265625], [751.25634765625, 699.2291259765625], [701.20458984375, 704.9493408203125], [798.4479370117188, 777.8818359375], [698.344482421875, 816.4931640625], [719.7952270507812, 867.9749145507812], [588.230712890625, 869.4049682617188]]"
14,"[[921.7033081054688, 776.68115234375], [930.2630615234375, 773.827880859375], [930.2630615234375, 772.4013061523438], [918.8500366210938, 728.17578125], [921.7033081054688, 753.8551025390625], [884.6109619140625, 712.4828491210938], [860.3582763671875, 751.0018310546875], [887.4642333984375, 782.3876953125], [866.0648193359375, 850.8658447265625], [903.1571655273438, 840.8794555664062], [884.6109619140625, 930.757080078125], [751.9345092773438, 699.6431884765625], [702.0025024414062, 703.923095703125], [796.1599731445312, 778.1077880859375], [697.7225952148438, 816.6267700195312], [720.5486450195312, 867.9854125976562], [589.298828125, 869.4120483398438]]"
15,"[[921.6611938476562, 776.7064819335938], [930.222412109375, 773.8527221679688], [930.222412109375, 770.9990234375], [917.380615234375, 729.6198120117188], [921.6611938476562, 753.8765869140625], [884.5626831054688, 711.070556640625], [860.305908203125, 749.5960083007812], [887.4163818359375, 780.987060546875], [866.0133666992188, 850.903564453125], [904.538818359375, 840.91552734375], [884.5626831054688, 930.8081665039062], [751.8639526367188, 699.6556396484375], [701.9236450195312, 705.3630981445312], [796.0968627929688, 778.13330078125], [697.6430053710938, 816.6587524414062], [720.472900390625, 868.0260009765625], [589.2011108398438, 869.4528198242188]]"
16,"[[921.8327026367188, 776.750244140625], [930.39306640625, 772.4700927734375], [930.39306640625, 771.0433349609375], [918.9793090820312, 729.66845703125], [921.8327026367188, 753.9227294921875], [886.1646728515625, 712.5477905273438], [860.4837036132812, 749.6425170898438], [887.5914306640625, 781.0303955078125], [866.1906127929688, 849.5130004882812], [903.2853393554688, 839.5259399414062], [884.7379760742188, 930.8361206054688], [752.0529174804688, 699.707275390625], [702.11767578125, 703.9874877929688], [796.28125, 778.1769409179688], [697.8375244140625, 816.6984252929688], [720.6651000976562, 868.0603637695312], [589.40673828125, 869.4871215820312]]"
17,"[[923.0521850585938, 776.7340087890625], [930.18896484375, 773.8792724609375], [930.18896484375, 771.0245361328125], [918.7700805664062, 729.6311645507812], [921.6248168945312, 753.896240234375], [885.9408569335938, 712.5028686523438], [860.2484130859375, 749.6141967773438], [888.7955932617188, 781.0160522460938], [865.9578247070312, 849.5292358398438], [904.4965209960938, 840.965087890625], [884.5134887695312, 930.888671875], [751.7691650390625, 699.6566162109375], [701.8116455078125, 705.3660888671875], [797.4446411132812, 776.7340087890625], [697.529541015625, 816.7000122070312], [720.3673095703125, 868.0848999023438], [589.0503540039062, 869.5122680664062]]"
18,"[[922.9288940429688, 776.5615234375], [930.0844116210938, 773.6993408203125], [930.0844116210938, 772.2682495117188], [918.6355590820312, 727.9038696289062], [921.4977416992188, 753.663818359375], [885.7200927734375, 712.1616821289062], [859.9601440429688, 750.8016357421875], [888.582275390625, 780.8548583984375], [867.1156616210938, 849.5480346679688], [904.324462890625, 840.96142578125], [884.2889404296875, 929.6900634765625], [751.1959228515625, 700.7128295898438], [701.107177734375, 706.437255859375], [796.9913940429688, 777.99267578125], [696.8138427734375, 818.0636596679688], [721.1426391601562, 868.1524658203125], [589.480712890625, 869.5835571289062]]"
19,"[[922.7742309570312, 776.688232421875], [929.9273071289062, 772.3963623046875], [929.9273071289062, 770.9657592773438], [918.482421875, 728.04736328125], [921.3436279296875, 753.7984008789062], [885.5783081054688, 712.3106079101562], [861.2578735351562, 752.3677978515625], [888.4395141601562, 780.9801025390625], [866.9802856445312, 849.6495361328125], [904.17626953125, 841.0658569335938], [884.1476440429688, 929.763916015625], [751.1005859375, 700.8656616210938], [701.029052734375, 706.588134765625], [796.8801879882812, 778.1188354492188], [696.7372436523438, 816.7454223632812], [721.0576782226562, 868.2474975585938], [589.441162109375, 869.6781616210938]]"
20,"[[922.8665161132812, 776.6473999023438], [931.4464111328125, 773.7874145507812], [930.0164184570312, 770.9274291992188], [918.5765380859375, 726.5978393554688], [921.4365234375, 753.767578125], [885.6868286132812, 712.2979736328125], [861.3770751953125, 752.3375854492188], [888.5468139648438, 782.3673095703125], [867.0969848632812, 849.5767211914062], [904.2766723632812, 840.9967651367188], [884.2568359375, 929.656005859375], [751.26806640625, 700.8580322265625], [701.218505859375, 706.5780029296875], [797.0276489257812, 778.0773315429688], [696.9285278320312, 816.68701171875], [721.2383422851562, 868.1665649414062], [588.24951171875, 869.5965576171875]]"
21,"[[921.2203979492188, 776.6922607421875], [929.800537109375, 773.8322143554688], [929.800537109375, 770.97216796875], [918.3603515625, 728.0714111328125], [921.2203979492188, 753.8118286132812], [885.4697875976562, 712.3411254882812], [861.1593627929688, 750.9517822265625], [888.329833984375, 780.9823608398438], [866.8794555664062, 849.62353515625], [904.0601196289062, 841.0433959960938], [884.0397338867188, 929.7049560546875], [752.4774169921875, 699.4708862304688], [700.9964599609375, 706.6210327148438], [798.2382202148438, 778.1222534179688], [696.7064208984375, 818.1630249023438], [721.016845703125, 868.2138671875], [589.4545288085938, 869.6439208984375]]"
22,"[[922.3329467773438, 776.7315673828125], [930.90087890625, 772.4476318359375], [930.90087890625, 771.0196533203125], [918.0490112304688, 728.1800537109375], [920.9049682617188, 753.8837890625], [886.63330078125, 712.47216796875], [860.9295043945312, 752.455810546875], [888.061279296875, 781.0155639648438], [866.6414794921875, 849.5588989257812], [905.1970825195312, 842.4189453125], [885.205322265625, 929.526123046875], [752.4025268554688, 698.1923217773438], [700.9949951171875, 705.332275390625], [798.0980834960938, 778.1595458984375], [696.7110595703125, 818.1431884765625], [720.98681640625, 868.1227416992188], [589.612060546875, 869.5507202148438]]"
