video_id,angles_left_leg_up,angles_right_leg_up,angles_core_decline,angles_left_knee,angles_right_knee,knee_left_leftright,knee_left_updown,knee_right_leftright,knee_right_updown,ankle_left_leftright,ankle_left_updown,ankle_right_leftright,ankle_right_updown,hip_left_leftright,hip_left_updown,hip_right_leftright,hip_right_updown,wrist_left_leftright,wrist_left_updown,wrist_right_leftright,wrist_right_updown
kor20230902m00008_20230902_001,30.65,-2.92,79.18,108.75,119.5,797.4795532226562,778.1348876953125,696.2003173828125,816.6495361328125,720.4503173828125,868.0023803710938,587.788818359375,870.8553466796875,751.8325805664062,701.1056518554688,701.90625,705.385009765625,903.0382080078125,840.8994750976562,883.067626953125,929.3405151367188
kor20230902m00008_20230902_001,31.12,-2.14,79.55,108.8,117.55,796.9284057617188,778.0262451171875,696.8395385742188,818.0618286132812,721.1468505859375,868.106201171875,588.171630859375,869.5360717773438,751.1734619140625,702.2446899414062,701.1290893554688,706.5342407226562,904.1664428710938,840.9392700195312,884.148681640625,929.58935546875
kor20230902m00008_20230902_001,31.12,-2.14,79.55,108.35,117.55,796.8882446289062,778.1443481445312,696.7836303710938,818.1861572265625,721.0947875976562,866.8084106445312,588.0986328125,869.6685180664062,751.1261596679688,702.350830078125,701.0738525390625,706.6410522460938,904.1431884765625,841.0671997070312,884.1222534179688,929.7312622070312
kor20230902m00008_20230902_001,31.12,-2.14,79.5,108.8,117.55,796.8898315429688,778.2902221679688,696.7011108398438,818.36572265625,721.0326538085938,868.4600830078125,587.9248046875,869.891357421875,751.0892944335938,702.4330444335938,700.9949340820312,706.7268676757812,904.23486328125,841.2659912109375,884.1971435546875,930.0045776367188
kor20230902m00008_20230902_001,31.12,-2.14,79.5,108.35,117.85,796.749755859375,778.2974853515625,696.41650390625,818.4307861328125,720.7831420898438,867.1640625,588.9166870117188,870.0307006835938,750.8831176757812,702.3309326171875,700.7164916992188,706.6309204101562,904.2495727539062,841.3640747070312,884.1829223632812,930.2306518554688
kor20230902m00008_20230902_001,31.12,-2.14,79.5,108.8,117.85,796.8575439453125,778.2622680664062,696.648193359375,818.3460083007812,720.9847412109375,868.45068359375,589.281005859375,869.8822631835938,751.0475463867188,702.3894653320312,700.94287109375,706.6841430664062,904.2247314453125,841.2509765625,884.182861328125,930.0078735351562
kor20230902m00008_20230902_001,31.12,-2.14,79.5,108.35,117.85,796.9046020507812,778.2879638671875,696.6875610351562,818.3748168945312,721.0260009765625,867.0516357421875,589.3121337890625,869.9149780273438,751.091064453125,702.4093627929688,700.9825439453125,706.704345703125,904.2799682617188,839.849853515625,884.236572265625,930.0452270507812
kor20230902m00008_20230902_001,31.12,-2.14,79.23,108.8,117.85,796.6416625976562,778.1743774414062,696.3538208007812,818.2894897460938,720.70947265625,868.4334106445312,588.9025268554688,869.8660888671875,750.7957763671875,702.2421264648438,700.65185546875,706.5401611328125,904.0929565429688,841.21240234375,884.035400390625,930.038818359375
kor20230902m00008_20230902_001,31.43,-2.14,79.01,107.97,117.85,798.04541015625,778.1888427734375,696.28955078125,818.3179321289062,720.6536254882812,868.4793090820312,588.8009033203125,869.9124755859375,750.7504272460938,700.7970581054688,700.589111328125,706.52978515625,904.1008911132812,841.2488403320312,884.036376953125,930.1061401367188
kor20230902m00008_20230902_001,30.65,-2.14,78.96,109.27,117.55,796.9791870117188,778.0802612304688,696.80078125,818.151611328125,721.1298217773438,868.2408447265625,588.03564453125,869.6719970703125,751.183349609375,700.7998046875,701.0941162109375,706.5242309570312,904.3131713867188,841.049560546875,884.2775268554688,929.7789916992188
