0,"[[890.8262329101562, 764.2290649414062], [900.808837890625, 758.6831665039062], [898.5905151367188, 762.0106811523438], [898.5905151367188, 714.3159790039062], [894.1537475585938, 734.2811889648438], [849.78662109375, 696.569091796875], [846.4590454101562, 740.936279296875], [850.8958129882812, 771.9932861328125], [843.1315307617188, 832.9981689453125], [864.2059326171875, 827.4522705078125], [852.0049438476562, 917.2957763671875], [747.7421264648438, 797.50439453125], [722.2310180664062, 816.3604736328125], [843.1315307617188, 784.1942749023438], [792.1093139648438, 905.0947875976562], [717.7942504882812, 848.5266723632812], [680.0821533203125, 861.8367919921875]]"
1,"[[890.8731689453125, 764.19189453125], [900.8612060546875, 758.6430053710938], [899.7514038085938, 761.9723510742188], [897.5318603515625, 714.2518920898438], [893.0927124023438, 734.2279052734375], [849.8113403320312, 696.4954223632812], [845.3722534179688, 740.8865966796875], [850.921142578125, 771.9603881835938], [843.1527099609375, 832.9982299804688], [864.2384643554688, 827.4493408203125], [852.0309448242188, 917.3413696289062], [748.8214721679688, 796.37548828125], [722.1868286132812, 815.2417602539062], [843.1527099609375, 784.16796875], [792.1028442382812, 905.1338500976562], [719.9672241210938, 848.5350952148438], [680.0151977539062, 861.8524780273438]]"
2,"[[891.9129638671875, 763.97119140625], [900.7984008789062, 758.4178466796875], [899.6876831054688, 761.7498168945312], [897.4663696289062, 713.9908447265625], [894.1343383789062, 733.9829711914062], [849.7073974609375, 696.2200927734375], [845.2647094726562, 741.7576904296875], [850.8180541992188, 771.7459106445312], [843.0433349609375, 833.9436645507812], [864.1461181640625, 827.2796020507812], [851.9287109375, 918.3548583984375], [749.7467651367188, 796.1807250976562], [721.9799194335938, 816.1728515625], [843.0433349609375, 785.073974609375], [791.9523315429688, 906.137451171875], [784.1776123046875, 848.3823852539062], [679.7742919921875, 861.7105102539062]]"
3,"[[890.8671875, 764.1312866210938], [899.74853515625, 759.6906127929688], [898.6383666992188, 761.9109497070312], [897.5281982421875, 714.1737670898438], [893.0875244140625, 734.1567993164062], [849.791015625, 696.4111328125], [845.350341796875, 740.8177490234375], [850.9011840820312, 771.9024658203125], [843.1300048828125, 832.9616088867188], [863.113037109375, 826.3005981445312], [852.0113525390625, 917.3342895507812], [748.765869140625, 796.3261108398438], [722.121826171875, 815.1989135742188], [843.1300048828125, 785.2244262695312], [792.0623779296875, 906.2326049804688], [783.1810302734375, 848.5039672851562], [679.935546875, 861.825927734375]]"
4,"[[890.8985595703125, 764.2448120117188], [900.88671875, 759.8056640625], [898.6671142578125, 762.0252075195312], [898.6671142578125, 713.1943969726562], [893.1181640625, 734.2803955078125], [849.8363037109375, 696.5474853515625], [845.3970947265625, 740.9391479492188], [850.946044921875, 772.0133666992188], [843.177490234375, 834.1617431640625], [863.15380859375, 827.5029907226562], [852.0558471679688, 917.3961181640625], [748.8451538085938, 797.53857421875], [722.2101440429688, 816.405029296875], [842.0677490234375, 785.3308715820312], [792.1270751953125, 905.1884155273438], [783.2487182617188, 848.5890502929688], [680.0380859375, 861.9065551757812]]"
5,"[[891.072021484375, 764.3232421875], [899.9534912109375, 759.8825073242188], [898.8433227539062, 762.1029052734375], [897.733154296875, 714.3649291992188], [893.2924194335938, 734.3482666015625], [849.9951782226562, 696.6019287109375], [845.554443359375, 741.0093383789062], [849.9951782226562, 770.984375], [842.223876953125, 834.2649536132812], [863.3173828125, 826.49365234375], [851.1053466796875, 918.6390380859375], [750.0784912109375, 796.5186157226562], [722.3238525390625, 815.3917846679688], [843.3340454101562, 785.416748046875], [792.2655029296875, 905.3167724609375], [782.2738647460938, 847.587158203125], [680.1367797851562, 862.01953125]]"
6,"[[891.0762329101562, 764.3113403320312], [899.9558715820312, 759.8715209960938], [898.845947265625, 762.0914306640625], [898.845947265625, 714.3631591796875], [893.296142578125, 734.3424682617188], [850.0077514648438, 696.6038208007812], [845.56787109375, 741.002197265625], [850.0077514648438, 770.9711303710938], [842.238037109375, 834.23876953125], [863.3272705078125, 826.4690551757812], [851.11767578125, 918.595703125], [750.1113891601562, 796.5001831054688], [722.3624267578125, 815.3694458007812], [843.3479614257812, 786.5105590820312], [792.2898559570312, 906.3861083984375], [778.9703369140625, 847.5582885742188], [680.1839599609375, 861.9877319335938]]"
7,"[[891.0990600585938, 764.1315307617188], [899.981689453125, 759.6902465820312], [898.8713989257812, 763.021240234375], [897.7610473632812, 714.1668090820312], [893.3197631835938, 734.1527099609375], [850.0169677734375, 696.4015502929688], [845.5756225585938, 741.9249877929688], [850.0169677734375, 770.7935180664062], [842.24462890625, 832.971923828125], [863.3408813476562, 826.3099365234375], [851.1272583007812, 918.4671630859375], [750.08740234375, 796.3310546875], [722.3292236328125, 815.2066650390625], [842.24462890625, 786.338134765625], [792.2798461914062, 905.1432495117188], [783.397216796875, 848.5164794921875], [680.13671875, 861.8404541015625]]"
8,"[[891.1328125, 764.1600952148438], [901.1209716796875, 759.7208862304688], [898.9013671875, 761.9404907226562], [897.7915649414062, 714.2192993164062], [893.3524169921875, 734.1956176757812], [850.0703735351562, 696.4625244140625], [845.6311645507812, 740.8543701171875], [850.0703735351562, 771.9286499023438], [842.3018188476562, 834.0772094726562], [863.387939453125, 826.3086547851562], [851.18017578125, 918.421630859375], [750.1887817382812, 796.3441162109375], [722.4439086914062, 815.210693359375], [842.3018188476562, 786.35595703125], [792.3610229492188, 906.2139282226562], [783.482666015625, 848.5045166015625], [680.2716674804688, 861.8220825195312]]"
9,"[[892.1699829101562, 764.1065673828125], [901.0428466796875, 759.6701049804688], [899.9337768554688, 761.8883056640625], [897.7155151367188, 714.1964721679688], [893.2791137695312, 734.1605224609375], [850.023681640625, 696.45068359375], [845.5872802734375, 740.815185546875], [850.023681640625, 770.76123046875], [842.2599487304688, 833.9805908203125], [863.3330688476562, 826.2168579101562], [851.1328125, 918.2731323242188], [751.312744140625, 795.1616821289062], [722.475830078125, 815.125732421875], [842.2599487304688, 786.2887573242188], [792.349853515625, 906.0729370117188], [783.4769897460938, 848.3990478515625], [680.3295288085938, 862.8175048828125]]"
