0,"[[789.3317260742188, 830.0157470703125], [799.0238037109375, 823.958251953125], [797.8123168945312, 826.3812255859375], [794.1777954101562, 797.3050537109375], [797.8123168945312, 804.5740966796875], [776.005126953125, 753.6907348632812], [762.6785888671875, 792.458984375], [763.8900756835938, 691.90380859375], [757.83251953125, 865.1495361328125], [705.7376708984375, 682.2117309570312], [760.2555541992188, 925.7249145507812], [651.2197875976562, 740.3641357421875], [622.1435546875, 731.8836059570312], [669.3923950195312, 814.2661743164062], [579.7407836914062, 830.0157470703125], [624.5665893554688, 894.2257080078125], [507.0502624511719, 902.706298828125]]"
1,"[[789.4550170898438, 830.243408203125], [799.1304931640625, 822.98681640625], [797.9210815429688, 826.6151123046875], [794.2927856445312, 797.5887451171875], [797.9210815429688, 803.6358642578125], [776.1512451171875, 754.0491333007812], [762.8474731445312, 791.5415649414062], [764.0569458007812, 691.1585693359375], [758.009765625, 865.3170166015625], [706.0040893554688, 681.4830932617188], [760.4286499023438, 925.7886962890625], [651.57958984375, 739.535888671875], [622.5531616210938, 731.0698852539062], [668.5116577148438, 814.5208129882812], [580.2229614257812, 830.243408203125], [624.9720458984375, 893.1339721679688], [506.447509765625, 902.8094482421875]]"
2,"[[788.9673461914062, 830.0924072265625], [798.6428833007812, 824.0452270507812], [797.4334106445312, 826.4640502929688], [795.0145263671875, 796.2280883789062], [797.4334106445312, 803.4847412109375], [775.6635131835938, 752.6882934570312], [763.5691528320312, 792.5997924804688], [763.5691528320312, 691.0068359375], [758.7313842773438, 866.3755493164062], [705.5160522460938, 682.540771484375], [761.1502685546875, 926.8475341796875], [651.0912475585938, 740.5938720703125], [623.274169921875, 732.1278076171875], [669.2328491210938, 814.3696899414062], [579.7343139648438, 830.0924072265625], [624.4835815429688, 892.9832153320312], [507.16796875, 901.4493408203125]]"
3,"[[788.9266967773438, 830.202392578125], [798.5993041992188, 824.1570434570312], [797.3901977539062, 826.5751342773438], [794.9720458984375, 797.5574340820312], [797.3901977539062, 803.602783203125], [775.6268920898438, 754.03076171875], [763.5361328125, 792.7211303710938], [763.5361328125, 691.1589965820312], [758.6998901367188, 866.4745483398438], [706.709716796875, 681.4863891601562], [761.1180419921875, 926.92822265625], [651.0923461914062, 740.73095703125], [623.28369140625, 732.2674560546875], [669.2284545898438, 814.4844360351562], [579.757080078125, 830.202392578125], [624.4927368164062, 893.0741577148438], [506.00360107421875, 902.7467651367188]]"
4,"[[790.57861328125, 830.3167114257812], [799.0737915039062, 823.0350952148438], [797.8602294921875, 826.6759033203125], [795.4329833984375, 797.549560546875], [797.8602294921875, 804.8311767578125], [776.0154418945312, 753.8600463867188], [762.6658935546875, 792.6951904296875], [763.8794555664062, 691.9666137695312], [759.0250854492188, 866.724609375], [705.6268310546875, 682.2578125], [760.2387084960938, 926.19091796875], [652.228515625, 739.296875], [623.1021728515625, 730.8016967773438], [669.2188720703125, 814.5399169921875], [580.6262817382812, 830.3167114257812], [624.3157958984375, 893.4237670898438], [506.5968322753906, 901.9189453125]]"
5,"[[790.6453857421875, 830.2322387695312], [800.3524169921875, 822.9519653320312], [799.1390380859375, 826.5921020507812], [795.4989013671875, 797.4710083007812], [797.9256591796875, 804.7512817382812], [776.0848999023438, 753.7894287109375], [762.7377319335938, 792.6174926757812], [763.9511108398438, 691.9072265625], [759.0975952148438, 866.633544921875], [705.708984375, 682.2001953125], [760.3109741210938, 926.0890502929688], [652.3203735351562, 739.2289428710938], [623.1993408203125, 730.7352905273438], [669.3076782226562, 814.4583129882812], [580.7311401367188, 830.2322387695312], [624.4127197265625, 893.3278198242188], [506.715087890625, 903.0348510742188]]"
6,"[[790.6366577148438, 830.2257080078125], [800.3469848632812, 822.9429321289062], [799.1331787109375, 826.5843505859375], [795.4918212890625, 797.4532470703125], [797.91943359375, 804.7360229492188], [776.0711059570312, 754.9703979492188], [762.7192993164062, 792.5980834960938], [763.93310546875, 691.85302734375], [759.0779418945312, 865.4258422851562], [705.6708984375, 682.1426391601562], [760.291748046875, 926.1156005859375], [652.263916015625, 739.1910400390625], [623.1328125, 730.6944580078125], [669.2570190429688, 814.4464111328125], [580.6499633789062, 830.2257080078125], [624.3466186523438, 893.3431396484375], [506.6083984375, 903.053466796875]]"
7,"[[791.0845336914062, 830.2866821289062], [799.5906372070312, 824.2108764648438], [798.37548828125, 826.6412353515625], [795.9451293945312, 798.6925048828125], [798.37548828125, 804.768310546875], [776.5025634765625, 754.9465942382812], [763.1357421875, 790.1863403320312], [763.1357421875, 691.7581787109375], [758.2750854492188, 865.5264282226562], [706.0231323242188, 682.036865234375], [760.7054443359375, 926.2845458984375], [653.7711181640625, 736.7191772460938], [624.6072387695312, 730.6433715820312], [669.5682373046875, 814.4895629882812], [580.8613891601562, 830.2866821289062], [624.6072387695312, 893.4751586914062], [505.5212707519531, 903.1964721679688]]"
8,"[[790.0508422851562, 830.3279418945312], [799.7796020507812, 824.2474975585938], [798.5634765625, 826.6796875], [794.9152221679688, 799.9255981445312], [797.347412109375, 804.7899780273438], [775.4577026367188, 754.93017578125], [763.2968139648438, 790.1968383789062], [763.2968139648438, 691.6932983398438], [758.4324340820312, 864.3785400390625], [704.92431640625, 681.9645385742188], [760.8646240234375, 925.1832275390625], [653.848388671875, 736.6887817382812], [623.446044921875, 730.6082763671875], [669.6575927734375, 815.7348022460938], [580.8828125, 830.3279418945312], [624.6621704101562, 893.5648193359375], [505.4850158691406, 903.2935180664062]]"
9,"[[790.1945190429688, 830.6160278320312], [799.92578125, 824.5339965820312], [798.7093505859375, 826.966796875], [795.0601196289062, 800.2057495117188], [797.4929809570312, 805.0714111328125], [775.5975341796875, 753.9821166992188], [762.217041015625, 790.4744873046875], [763.4334716796875, 691.9451904296875], [758.5678100585938, 864.675537109375], [705.0457153320312, 682.2138671875], [761.0006103515625, 925.49609375], [652.7400512695312, 738.1687622070312], [623.546142578125, 732.0867309570312], [669.769775390625, 816.0191040039062], [579.75537109375, 830.6160278320312], [623.546142578125, 893.8694458007812], [505.55426025390625, 902.38427734375]]"
