video_id,angles_left_leg_up,angles_right_leg_up,angles_core_decline,angles_left_knee,angles_right_knee,knee_left_leftright,knee_left_updown,knee_right_leftright,knee_right_updown,ankle_left_leftright,ankle_left_updown,ankle_right_leftright,ankle_right_updown,hip_left_leftright,hip_left_updown,hip_right_leftright,hip_right_updown,wrist_left_leftright,wrist_left_updown,wrist_right_leftright,wrist_right_updown
kor20230902m00009_20230902_001,34.64,5.25,80.18,102.85,98.03,734.1216430664062,785.4947509765625,663.1190795898438,855.273193359375,666.7916259765625,858.9457397460938,554.1668090820312,880.9810180664062,687.6027221679688,718.1647338867188,652.1014404296875,735.3032836914062,783.0889892578125,579.8320922851562,795.330810546875,922.6032104492188
kor20230902m00009_20230902_001,38.1,4.73,82.21,99.3,98.56,734.77392578125,786.0217895507812,662.4270629882812,854.7512817382812,666.04443359375,860.7801513671875,555.1126098632812,880.0726318359375,686.5426635742188,724.5269775390625,652.7808227539062,737.79052734375,783.005126953125,581.0390625,795.0629272460938,922.2749633789062
kor20230902m00009_20230902_001,40.03,4.86,81.87,96.47,99.65,735.763916015625,785.8414306640625,661.2794799804688,854.1187744140625,666.2451171875,859.0844116210938,555.7599487304688,881.4297485351562,683.6248168945312,723.7711181640625,651.3482666015625,737.4265747070312,784.1787719726562,581.0093383789062,795.3514404296875,922.3961791992188
kor20230902m00009_20230902_001,39.22,4.29,82.08,97.82,100.42,734.4091186523438,785.7568969726562,659.9136962890625,854.0443115234375,667.3632202148438,857.7691040039062,555.6201171875,881.3593139648438,684.7454833984375,724.9189453125,651.2225341796875,737.3348388671875,784.07275390625,580.8944702148438,795.2470703125,922.331787109375
kor20230902m00009_20230902_001,40.5,4.36,82.08,97.03,100.79,735.3253173828125,784.64697265625,660.5640258789062,853.1781616210938,668.0401611328125,858.1622314453125,554.6522827148438,881.8366088867188,684.2384643554688,724.8380126953125,651.8419189453125,738.5442504882812,783.9201049804688,581.5455932617188,795.13427734375,922.955322265625
kor20230902m00009_20230902_001,37.4,4.13,81.31,99.6,100.02,735.21728515625,785.1307373046875,661.4529418945312,853.9774780273438,667.5999755859375,857.6656494140625,554.4945678710938,881.0244140625,687.2704467773438,722.4310302734375,652.8471069335938,735.9544677734375,783.1641235351562,579.8198852539062,795.4581909179688,922.82421875
kor20230902m00009_20230902_001,37.57,3.53,81.7,99.38,100.91,735.1259765625,785.6860961914062,660.1070556640625,853.4451293945312,666.156982421875,859.4950561523438,552.4186401367188,881.2747192382812,686.7266845703125,722.7670288085938,652.84716796875,737.2868041992188,782.3153076171875,578.779052734375,794.4151611328125,922.4141235351562
kor20230902m00009_20230902_001,41.86,3.53,82.99,96.45,100.76,736.5574340820312,783.73583984375,659.9537353515625,853.157958984375,668.3322143554688,860.3395385742188,552.2296752929688,880.6874389648438,685.0892944335938,726.2830200195312,652.7720947265625,738.2523803710938,783.2378540039062,579.0602416992188,795.2071533203125,921.3831787109375
kor20230902m00009_20230902_001,37.72,3.53,81.73,98.26,101.51,734.994140625,786.8585815429688,659.9102172851562,852.2542114257812,665.9653930664062,858.3093872070312,552.1285400390625,881.3189697265625,685.3418579101562,722.6739501953125,652.64404296875,735.9953002929688,782.2243041992188,579.7723388671875,795.545654296875,922.4939575195312
kor20230902m00009_20230902_001,38.1,4.13,82.69,97.88,100.17,734.3865966796875,786.8704223632812,660.7345581054688,853.2779541015625,665.564208984375,858.1076049804688,552.0676879882812,881.0484008789062,686.0902099609375,725.29248046875,652.28271484375,737.3665771484375,782.6829833984375,579.1958618164062,794.757080078125,922.100341796875
kor20230902m00009_20230902_001,36.69,3.53,81.35,99.32,100.61,735.141357421875,785.1686401367188,659.6498413085938,853.3545532226562,666.9554443359375,855.7897338867188,553.7182006835938,880.141845703125,688.8723754882812,723.07080078125,652.3441772460938,736.4644775390625,782.6279296875,580.6110229492188,794.8040161132812,922.758056640625
kor20230902m00009_20230902_001,37.95,3.53,81.59,97.05,100.46,735.6503295898438,785.2314453125,660.7942504882812,853.9517822265625,664.4757080078125,856.4060668945312,552.80517578125,880.9490356445312,687.7915649414062,723.8740234375,653.431396484375,736.1455078125,782.281982421875,579.0704345703125,794.553466796875,921.4449462890625
kor20230902m00009_20230902_001,36.69,3.03,81.2,98.81,101.79,736.0466918945312,785.5677490234375,659.6882934570312,853.3050537109375,665.84619140625,856.9998168945312,552.5401611328125,881.631591796875,689.2463989257812,722.7567749023438,653.5303344726562,736.3042602539062,782.8470458984375,579.892578125,793.9313354492188,922.2739868164062
kor20230902m00009_20230902_001,35.43,2.29,80.7,99.57,101.99,735.6298828125,785.5853881835938,659.3452758789062,854.4876098632812,665.4972534179688,855.718017578125,553.5311279296875,881.5563354492188,690.105224609375,721.604736328125,654.4237060546875,735.1390991210938,783.6153564453125,580.1090698242188,794.68896484375,920.9290771484375
kor20230902m00009_20230902_001,37.8,2.43,81.62,96.2,102.7,737.2000122070312,786.1533203125,659.0174560546875,853.1669311523438,665.222412109375,855.64892578125,553.5330810546875,881.7097778320312,690.0422973632812,725.3446655273438,654.053466796875,736.5136108398438,783.1167602539062,581.3894653320312,794.2857055664062,921.4215087890625
kor20230902m00009_20230902_001,38.66,3.03,81.31,95.85,102.1,737.3900146484375,785.9830932617188,659.6505126953125,852.6170043945312,664.5863647460938,857.5528564453125,554.7638549804688,880.9981079101562,688.0316162109375,724.2850952148438,653.480712890625,736.6246948242188,783.0465698242188,578.677734375,794.1522216796875,921.7188110351562
kor20230902m00009_20230902_001,39.22,3.03,81.44,94.31,102.06,738.4738159179688,785.5894775390625,659.9668579101562,852.881103515625,663.7052612304688,856.6195068359375,554.0448608398438,881.5423583984375,688.6281127929688,724.5285034179688,653.7361450195312,736.9899291992188,783.3348999023438,579.97607421875,793.3040161132812,921.4188842773438
kor20230902m00009_20230902_001,37.57,2.43,81.08,95.91,102.36,738.5870361328125,786.4944458007812,659.1356811523438,853.33447265625,665.4413452148438,855.8567504882812,554.461669921875,881.0794067382812,688.1417236328125,720.9155883789062,654.0911254882812,737.310302734375,783.98779296875,582.1910400390625,794.0768432617188,921.4356689453125
